33	-13	-9	45.73	77.17	13.15	11.89	12736.8777284432	12	21.15	hand	low	false	false	true
50	96	109	30.01	60.63	7.31	13.29	4930.8940795847	5	20.72	hand	moderate	false	false	true
14	-8	11	35.96	59.82	10.67	21.05	4512.7074513917	11	14.28	hand	low	false	false	true
20	8	10	40.66	48.17	13.27	20.47	6230.3838275216	10	20.0	machines	high	true	false	true
22	13	31	42.43	44.68	10.47	8.18	3016.7607895199	16	27.45	hand	low	false	true	false
50	-9	7	42.73	40.58	11.13	11.21	3936.9036875432	7	13.63	hand	high	true	true	false
21	71	84	43.07	37.06	14.82	19.92	400.726230205	12	23.94	machines	low	true	true	true
19	-17	-3	31.71	49.64	10.86	10.44	3060.3273245446	9	22.58	hand	high	true	false	true
20	0	16	30.31	60.33	10.89	10.09	4123.9117199535	13	18.19	hand	high	false	false	false
40	86	98	43.23	45.55	9.44	9.1	5748.9484337437	8	15.12	machines	high	true	false	true
45	108	109	40.89	43.8	12.92	8.04	6235.3840369676	6	18.7	machines	moderate	false	false	false
25	66	81	33.69	31.98	8.06	3.9	5048.8206354817	10	23.15	machines	high	false	false	true
50	83	100	30.2	51.71	11.21	12.92	220.3476813789	12	14.92	hand	low	false	false	true
23	76	80	39.39	9.13	9.01	5.52	2101.2740723456	16	18.53	machines	low	false	true	true
35	46	65	42.24	27.94	9.39	5.5	8438.7652730262	8	15.46	machines	high	false	false	true
35	13	15	36.28	68.03	10.52	15.06	1057.3497098632	15	32.2	hand	high	true	false	false
17	71	71	37.6	72.66	9.66	10.33	7584.3447108588	9	21.64	machines	low	true	false	true
9	26	39	40.92	21.05	7.47	11.98	1096.1353410876	6	15.08	hand	low	false	true	false
22	32	39	34.42	62.76	11.87	10.37	3369.3159129671	11	22.36	hand	moderate	false	true	true
50	69	89	43.69	82.46	8.13	16.13	6791.0655868022	7	25.23	machines	moderate	false	false	false
20	96	105	40.26	52.95	8.38	13.5	5076.6493793689	8	18.9	machines	low	true	false	false
5	82	101	33.83	53.58	7.99	11.46	8397.4065029742	13	22.84	hand	low	true	false	true
2	70	81	35.6	76.18	10.41	18.94	648.0895912076	14	22.56	hand	high	false	false	true
21	2	9	37.82	64.84	9.97	10.58	4090.2826959222	10	15.7	hand	high	true	true	true
27	6	15	44.3	71.36	7.94	11.46	413.4468358839	13	26.49	machines	low	false	true	false
30	9	21	36.47	55.41	10.5	11.75	6797.4330890725	10	24.47	hand	low	true	false	false
19	106	125	38.37	60.0	12.63	11.75	3960.3863473823	13	16.69	machines	high	true	false	false
35	43	52	35.92	36.26	10.39	13.94	12398.8018037541	8	27.74	machines	high	true	false	false
46	39	50	32.4	60.3	10.63	10.06	197.4810251719	13	20.01	machines	low	false	false	false
8	70	89	37.95	79.62	12.24	9.01	4872.7073388767	14	27.22	machines	low	false	true	false
24	21	23	35.19	44.03	9.15	11.7	227.2911793825	6	21.17	machines	low	true	false	false
34	-3	15	32.37	42.89	9.14	3.92	3166.249122665	9	13.09	machines	low	false	false	false
52	8	28	36.32	35.69	11.6	10.14	1784.2271902924	8	11.99	hand	moderate	true	true	true
44	-14	-10	31.18	23.37	12.76	-1.49	8744.8096140004	15	16.23	machines	high	true	true	true
33	86	101	30.43	66.54	8.63	20.01	956.4902127084	17	20.81	hand	moderate	true	true	true
10	79	85	38.99	67.09	8.68	10.53	776.5094105614	11	17.52	hand	moderate	true	false	false
9	84	88	42.5	48.24	11.5	12.64	2809.3245473221	16	21.79	hand	low	true	true	true
38	26	44	33.53	55.72	10.29	15.59	206.2985689654	5	24.33	machines	high	true	false	false
26	0	20	33.05	57.62	9.97	9.09	1963.8354299038	10	19.75	hand	moderate	false	true	true
20	101	113	33.47	50.62	11.34	12.79	1889.8933506231	8	21.45	hand	high	false	false	false
6	-8	4	40.3	84.76	11.1	16.33	429.1311145798	10	26.4	machines	moderate	false	false	true
49	64	72	33.69	51.51	12.95	11.8	5990.849116419	14	17.21	machines	low	false	true	true
49	24	38	38.36	39.06	10.33	12.08	4165.6582610348	10	23.7	machines	low	true	true	true
4	12	15	40.19	69.57	4.44	10.56	8760.1127481369	8	20.02	machines	moderate	true	false	false
9	11	24	34.22	58.4	11.1	6.73	694.4123249147	13	21.11	machines	moderate	false	false	true
11	47	65	35.68	56.44	9.8	10.25	3013.7508547168	12	21.31	machines	low	true	false	true
51	77	84	35.6	50.79	10.47	6.34	4524.8747518941	19	18.35	hand	high	false	false	false
3	-10	0	39.71	37.41	7.93	13.25	1411.7917360381	12	19.75	hand	moderate	false	false	false
37	85	103	39.86	54.69	8.62	8.87	14365.8495279493	8	15.94	hand	high	false	false	true
2	48	65	44.06	33.23	13.28	11.79	1198.2347958346	8	21.89	machines	moderate	true	true	true
20	-9	11	36.18	61.25	11.12	12.64	6070.1619649967	8	20.88	hand	low	true	true	true
37	90	98	38.59	50.03	13.47	6.56	1837.7810242239	5	15.8	hand	moderate	true	true	false
35	6	13	40.78	54.35	7.84	13.47	936.604309024	9	27.08	machines	moderate	false	false	false
49	31	33	31.53	22.06	9.59	5.53	2474.2713535108	13	22.97	machines	moderate	false	true	false
11	12	17	32.4	57.87	8.43	9.67	1550.097521889	11	23.58	hand	moderate	true	true	false
5	45	58	37.43	69.54	7.2	15.23	11363.1640822483	11	27.99	hand	low	true	false	true
46	74	74	34.48	46.95	8.52	10.19	2417.3934317217	7	16.98	hand	moderate	false	true	false
18	32	51	42.19	43.88	10.3	14.59	7437.7749360931	13	19.65	hand	high	true	true	true
45	-18	-17	39.3	51.8	8.58	15.44	3787.8501863532	11	21.77	hand	moderate	true	false	false
1	88	95	41.01	34.19	11.06	12.15	4246.7533320483	8	20.35	hand	low	false	true	true
42	103	110	37.65	79.88	9.79	11.11	3562.926352849	5	27.06	hand	moderate	true	true	true
32	-14	4	40.85	54.2	12.62	11.37	2741.8633144616	12	18.96	hand	low	true	false	false
26	88	88	42.4	49.49	9.08	9.61	8323.0583982545	10	33.67	hand	moderate	true	true	true
21	-11	-1	33.29	19.04	12.53	12.26	142.335811158	10	11.34	hand	low	false	true	false
41	19	29	42.42	48.98	13.05	15.82	2801.7588720453	5	18.75	machines	high	true	false	false
48	62	71	32.32	44.94	8.94	14.4	1614.7831455292	11	26.44	hand	low	true	true	false
30	78	90	35.27	50.65	9.77	12.59	2267.6500921687	13	4.0	machines	low	false	true	false
10	4	23	40.24	58.18	10.86	6.02	23.9733957048	12	26.99	hand	high	false	true	false
37	48	55	41.46	37.32	9.6	12.3	7513.3227973625	14	18.93	machines	high	true	true	true
5	0	4	37.61	44.7	5.4	12.62	2202.5402913552	11	10.71	hand	moderate	false	true	true
52	73	90	38.39	15.14	10.03	16.29	6572.962459224	9	22.06	machines	moderate	true	false	true
8	-2	7	42.36	58.96	11.59	17.04	7525.0757214073	9	17.44	machines	moderate	true	true	true
14	37	41	30.39	75.44	8.68	15.95	2162.1018340909	15	20.46	machines	moderate	false	false	true
30	80	83	33.81	46.38	7.48	11.78	1695.0041382011	8	26.27	machines	moderate	true	true	true
52	32	38	45.3	38.83	9.57	9.29	2189.7371601935	10	24.77	machines	moderate	true	false	false
21	4	6	39.19	37.69	5.69	5.43	14211.27164287	14	23.95	machines	moderate	false	false	true
9	68	85	31.47	37.15	9.13	9.56	635.0554610579	8	23.92	hand	moderate	false	false	true
6	24	37	37.42	23.41	10.48	7.89	2751.3250006711	10	18.01	machines	moderate	false	true	false
34	70	76	35.4	31.06	10.91	10.42	17299.465386811	5	19.67	machines	low	false	true	false
52	90	97	34.37	33.41	7.91	15.09	5982.9982477498	12	17.47	machines	low	true	true	false
10	22	23	34.4	69.62	11.42	13.14	2471.6397238331	10	15.5	machines	low	true	true	true
13	26	33	42.52	43.62	9.85	12.05	354.3129557181	8	21.36	machines	low	true	true	false
4	-8	0	37.28	63.87	5.0	9.6	571.4600537205	6	25.95	hand	moderate	true	true	false
48	-8	-2	39.99	32.62	7.27	10.38	1043.729092439	14	11.05	machines	high	false	true	true
27	52	60	31.44	71.39	10.6	12.01	2854.2734247282	7	20.2	machines	low	true	false	false
38	7	21	40.66	62.81	9.14	10.11	514.2042675325	11	20.95	hand	high	false	true	true
17	9	11	37.93	41.31	8.54	11.53	5621.3495980551	10	23.6	machines	high	false	false	true
44	45	58	33.27	45.64	10.11	6.87	4930.1984992171	12	22.61	hand	low	true	true	true
11	77	84	37.88	48.69	10.35	8.76	5704.1203810775	12	19.4	hand	low	false	true	false
6	46	59	43.63	26.96	8.04	16.7	1644.0187589748	9	25.52	machines	low	true	true	false
16	87	107	49.99	40.86	11.25	6.78	3488.6896898088	8	28.3	machines	low	false	true	false
6	19	29	36.59	56.81	8.52	11.92	430.4513936933	6	18.57	hand	high	true	false	false
50	-19	-3	37.16	52.69	10.25	13.74	2161.7242459395	9	17.34	hand	low	true	false	true
50	57	72	34.17	43.09	10.34	9.99	12600.9002658287	12	17.09	machines	moderate	false	false	false
20	108	118	33.47	68.38	8.59	13.82	3692.5776510298	6	11.95	hand	low	true	false	false
24	34	39	32.77	50.34	6.42	17.2	3369.7905338833	8	26.81	hand	moderate	true	true	true
6	71	81	39.85	51.9	7.36	12.01	7797.1362776645	7	9.4	machines	moderate	false	true	true
50	82	88	43.72	44.05	8.1	12.36	7734.4429101769	10	27.59	machines	low	true	true	false
13	18	22	36.72	73.97	9.11	6.23	2830.1190234875	10	27.2	hand	low	true	true	false
